בעיה,פיתרון קצר,פיתרון ארוך,קופה
"בעיה
סכנת נפילה וקושי בכניסה וביציאה.
","פתרון
הוספה של זחליל עולה מדרגות נייד דרך הקופה - יש להגיש בקשה לאתר מכבי > בקשה חדשה להתחייבות > תחת בקשה מהמשרד או החזרים, אישורים והתחייבויות - https://www.maccabi4u.co.il/new/maccabi_news/general/49130/#?module=NewFormMobility
נמליץ לקבל המלצה בפיזיוטרפסיט או רופא ובה רשום במפורש הצורך ברמפה/זחליל עולה מדרגות נייד. 
השאלת/השכרת רמפה ניידת https://yad-sarah.net/
התקנת רמפה נגישה ו/או הוספת מאחזי יד 
"," המלצות וזכויות
על אף שהרופאים צופים חזרה לתפקוד מלא, יש לשקול הערכות למצב עתידי שבו יהיה צורך ברמפה קבועה, ניתן להגיש בקשה לסיוע במימון התאמות נגישות לבית ממשרד הבינוי והשיכון https://www.gov.il/he/service/request-to-improve-housing-conditions-for-handicapped
מספר רשויות מקומיות ועיריות מציעות סיוע במימון התאמות נגישות לבתים במקרים אלו, בדקו זכאות מול מחלקת הרווחה של אזור המגורים
התקינו תאורה חזקה
אביזרי עזר רלוונטים בהשתתפות עצמית עם קופת חולים מכבי https://www.maccabi4u.co.il/new/eligibilites/2161/
פנו למטפל/אחות/פיזיותרפיסט ובקשה הפניה שתכלול אבחנה רפואית והמלצה לרכישה של הפריט. קנו את המוצר ולאחר מכן הגישו למרכז הרפואי בדואר או בעמדת אל-תור את ההפניה שקיבלת ממטפל הקופה, קבלה וחשבונית מס מקורית. ההחזר ישלח אליכם. 
מאחזים בגדלים שונים - 11 - 49 ש""ח
",מכבי
"בעיה
סכנת נפילה וקושי בכניסה וביציאה.
","פתרון
הוספה של זחליל עולה מדרגות נייד דרך קופת החולים - יש להגיש בקשה לאתר מכבי > בקשה חדשה להתחייבות > תחת בקשה מהמשרד או החזרים, אישורים והתחייבויות - https://www.maccabi4u.co.il/new/maccabi_news/general/49130/#?module=NewFormMobility
נמליץ לקבל המלצה מפיזיותרפיסט או רופא ובה רשום במפורש הצורך ברמפה/זחליל עולה מדרגות נייד. 
השאלת/השכרת רמפה ניידת https://yad-sarah.net/
התקנת רמפה נגישה ו/או הוספת מאחזי יד 
"," המלצות וזכויות
ניתן להגיש בקשה לסיוע במימון התאמות נגישות לבית ממשרד הבינוי והשיכון https://www.gov.il/he/service/request-to-improve-housing-conditions-for-handicapped
מספר רשויות מקומיות ועיריות מציעות סיוע במימון התאמות נגישות לבתים במקרים אלו, בדקו זכאות מול מחלקת הרווחה של אזור המגורים
התקינו תאורה חזקה
אביזרי עזר רלוונטים בהשתתפות עצמית עם קופת חולים מכבי https://www.maccabi4u.co.il/new/eligibilites/2161/
פנו למטפל/אחות/פיזיותרפיסט ובקשה הפניה שתכלול אבחנה רפואית והמלצה לרכישה של הפריט. קנו את המוצר ולאחר מכן הגישו למרכז הרפואי בדואר או בעמדת אל-תור את ההפניה שקיבלת ממטפל הקופה, קבלה וחשבונית מס מקורית. ההחזר ישלח אליכם. 
מאחזים בגדלים שונים - 11 - 49 ש""ח
",מכבי
"בעיה
מגביל התניידות בבית ומעלה משמעותית את הסיכוי לנפילות ופציעות נוספות.
","פתרון
התקנת מעקות או מאחזי יד בשני צידי המדרגות.
התקנת מעלון מדרגות מאפשר לעבור בין הקומות ללא צורך במאמץ פיזי.
הוספה של זחליל עולה מדרגות נייד דרך קופת החולים - יש להגיש בקשה לאתר מכבי > בקשה חדשה להתחייבות > תחת בקשה מהמשרד או החזרים, אישורים והתחייבויות - https://www.maccabi4u.co.il/new/maccabi_news/general/49130/#?module=NewFormMobility
נמליץ לקבל המלצה מפיזיותרפיסט או רופא ובה רשום במפורש הצורך ברמפה/זחליל עולה מדרגות נייד. 
השכרת/השאלת מאחזי יד ניידים ומעלונים https://yad-sarah.net/
בחנו האם הבית מאפשר ריכוז של החיים בצד אחד של המדרגות. 
"," המלצות וזכויות
ניתן להגיש בקשה לסיוע במימון התאמות נגישות לבית ממשרד הבינוי והשיכון https://www.gov.il/he/service/request-to-improve-housing-conditions-for-handicapped
מספר רשויות מקומיות ועיריות מציעות סיוע במימון התאמות נגישות לבתים במקרים אלו, בדקו זכאות מול מחלקת הרווחה של אזור המגורים
התקינו תאורה חזקה
סימון מדרגות באמצעות סרט דביק בעל צבע ברור
התקנת מדבקות נגד החלקה על המדרגות
אביזרי עזר רלוונטים בהשתתפות עצמית עם קופת חולים מכבי https://www.maccabi4u.co.il/new/eligibilites/2161/
פנו למטפל/אחות/פיזיותרפיסט ובקשה הפניה שתכלול אבחנה רפואית והמלצה לרכישה של הפריט. קנו את המוצר ולאחר מכן הגישו למרכז הרפואי בדואר או בעמדת אל-תור את ההפניה שקיבלת ממטפל הקופה, קבלה וחשבונית מס מקורית. ההחזר ישלח אליכם. 
מאחזים בגדלים שונים - 11 - 49 ש""ח
",מכבי
"בעיה
שטיחים מגבירים סיכון 
 לנפילות ורצפות מחזירת אור בשילוב תאורה לבנה (כמו פלורסנט) יוצרת השתקפויות, מה שגורם לבלבול בתפיסת העומק ולפגיעה בשיווי המשקל.
","פתרון
מומלץ להימנע משטיחים בבית במצב הרפואי הנוכחי
במידה ותבחרו להשאיר, נמליץ:
להשתמש בשטיחים דקים עם מדבקות מונעות החלקה.
השתמשו ברהיטים כבדים כמשקולת בקצוות השטיח כדי לקבע אותם
חשוב - במידה ותחליטו כן להשאיר שטיחים בבית, נמליץ מאוד לא למקם שטיחים במסלולים מרכזיים כמו בין המיטה לשירותים.

נמליץ להשתמש בתאורה חמימה (צהובה-כתומה) במקום באור לבן חזק. ","המלצות וזכויות 
אביזרי עזר רלוונטים בהשתתפות עצמית עם קופת חולים מכבי https://www.maccabi4u.co.il/new/eligibilites/2161/
פנו למטפל/אחות/פיזיותרפיסט ובקשה הפניה שתכלול אבחנה רפואית והמלצה לרכישה של הפריט. קנו את המוצר ולאחר מכן הגישו למרכז הרפואי בדואר או בעמדת אל-תור את ההפניה שקיבלת ממטפל הקופה, קבלה וחשבונית מס מקורית. ההחזר ישלח אליכם. 
דייסם נגד החלקה - 20 ש""ח
שטיחון למניעת החלקה - 27 ש""ח
",מכבי
"בעיה 
סכנת החלקה 
קושי בניידות וביציבות בזמן רחצה
חוסר נגישות עם הליכון או כיסא גלגלים
","פתרון
התקנת ידיות אחיזה יציבות בתוך המקלחון כדי לספק תמיכה בזמן הכניסה, היציאה והרחצה.
הנחת משטח מונע החלקה על רצפת המקלחון.
התקנה של דלתות מותאמות בשביל ליצר גישה ומרחב פעולה 
התקנת כסא רחצה מתקפל או כיסא מותאם לנכים, המאפשר לשבת בזמן הרחצה.
לוודא שגובה ברזי המים והדוש נגישים.
כיסא גלגלים לשירותים ורחצה דרך קופת החולים - יש להגיש בקשה לאתר מכבי > בקשה חדשה להתחייבות > תחת בקשה מהמשרד או החזרים, אישורים והתחייבויות - https://www.maccabi4u.co.il/new/maccabi_news/general/49130/#?module=NewFormMobility
נמליץ לקבל המלצה מפיזיותרפיסט או רופא ובה רשום במפורש הצורך בכיסא גלגלים לשירותים ורחצה. 
","המלצות וזכויות
ודאו באופן תדיר את תחזוקת המקלחון והתאמתו לצרכי ובטיחות המטופל. ניתן להגיש בקשה לסיוע במימון התאמות נגישות לבית ממשרד הבינוי והשיכון https://www.gov.il/he/service/request-to-improve-housing-conditions-for-handicapped
מספר רשויות מקומיות ועיריות מציעות סיוע במימון התאמות נגישות לבתים במקרים אלו, בדקו זכאות מול מחלקת הרווחה של הרשות המקומית באזור  מגוריו.
התקינו מוט מקלחת מתכוונן שמאפשר להתאים את גובה המים לישיבה.
אביזרי עזר רלוונטים בהשתתפות עצמית עם קופת חולים מכבי https://www.maccabi4u.co.il/new/eligibilites/2161/
פנו למטפל/אחות/פיזיותרפיסט ובקשה הפניה שתכלול אבחנה רפואית והמלצה לרכישה של הפריט. קנו את המוצר ולאחר מכן הגישו למרכז הרפואי בדואר או בעמדת אל-תור את ההפניה שקיבלת ממטפל הקופה, קבלה וחשבונית מס מקורית. ההחזר ישלח אליכם. 
מאחזים בגדלים שונים - 11 - 49 ש""ח
ספוגי רחצה מותאמים - 14 - 30 ש""ח
",מכבי
"בעיה
חוסר יכולת / קושי להיכנס ולצאת מהאמבטיה
סכנת החלקה ונפילה במהלך השימוש באמבטיה עקב רטיבות ומוגבלות בתנועה
","פתרון
התקנת ידיות אחיזה יציבות בשני צידי האמבטיה ובנקודות קריטיות כמו הכניסה והיציאה.
שימוש במשטח מונע החלקה בתוך האמבטיה ועל הרצפה סביבה.
הוספת כסא רחצה מותאם המאפשר רחצה בישיבה. 
כיסא גלגלים לשירותים ורחצה דרך קופת החולים - יש להגיש בקשה לאתר מכבי > בקשה חדשה להתחייבות > תחת בקשה מהמשרד או החזרים, אישורים והתחייבויות - https://www.maccabi4u.co.il/new/maccabi_news/general/49130/#?module=NewFormMobility
נמליץ לקבל המלצה מפיזיותרפיסט או רופא ובה רשום במפורש הצורך בכיסא גלגלים לשירותים ורחצה. 
התקנת מעלון אמבטיה (כיסא ממונע) שמרים ומוריד את המשתמש בבטחה בתוך האמבטיה ומחוצה לה.
התקנת מנוף הרמה ייעודי שמסייע במעברמכיסא הגלגלים לאמבטיה ובחזרה.
","המלצות וזכויות
זו עלולה להיות סיטואציה לא נעימה אך נמליץ בפעמים הראשונות, הקפידו על מלווה בזמן המקלחת. 
כסא רחצה מסתובב מסייע להיכנס ולצאת מהאמבטיה בקלות תוך כדי ישיבה.
התקינו לחצן מצוקה או מערכת התראה קולית בתוך חדר הרחצה.
ניתן להגיש בקשה לסיוע במימון התאמות נגישות לבית ממשרד הבינוי והשיכון https://www.gov.il/he/service/request-to-improve-housing-conditions-for-handicapped
מספר רשויות מקומיות ועיריות מציעות סיוע במימון התאמות נגישות לבתים במקרים אלו, בדקו זכאות מול מחלקת הרווחה של הרשות המקומית באזור מגוריהם. 
התקינו מוט מקלחת מתכוונן שמאפשר הגעה על הדוש.
אביזרי עזר רלוונטים בהשתתפות עצמית עם קופת חולים מכבי https://www.maccabi4u.co.il/new/eligibilites/2161/
פנו למטפל/אחות/פיזיותרפיסט ובקשה הפניה שתכלול אבחנה רפואית והמלצה לרכישה של הפריט. קנו את המוצר ולאחר מכן הגישו למרכז הרפואי בדואר או בעמדת אל-תור את ההפניה שקיבלת ממטפל הקופה, קבלה וחשבונית מס מקורית. ההחזר ישלח אליכם. 
מאחזים בגדלים שונים - 11 - 49 ש""ח
ספוגי רחצה מותאמים - 14 - 30 ש""ח
ספסל העברה לאמבטיה - 211 ש""ח
קרש עם מושב לאמבטיה - 76 ש""ח
",מכבי
"התניידות והתאמות
מעברים ודלתות: יש לוודא שרוחב הדלתות והמעברים בבית מתאים למעבר כיסא גלגלים.
רמפות והסרת מכשולים: התקנת רמפות במקום מדרגות והסרת שטיחים, חוטים ומכשולים אחרים שיכולים להפריע לתנועה חלקה ובטוחה.
ידיות אחיזה: התקנת ידיות אחיזה בשירותים ובמקלחת כדי לסייע במעבר ובשמירה על היציבות.
מושב אסלה מוגבה: התקנת מושב אסלה מוגבה מקלה על המעבר מכסא הגלגלים לשירותים ובחזרה. 
נגישות: וודאו שהמיטה, משטחי העבודה ושולחן האוכל מותאמים לגובה כיסא הגלגלים ונגישים לשימוש יומיומי.
אחסון נגיש: מקמו פריטים  המצויים בשימוש יומיומי בגובה מתאים.
מיטה מותאמת עם מזרון למניעת פצעי לחץ: לאפשר כניסה ויציאה מהמיטה ולמנוע ככל הניתן פצעי לחץ. 
","אורח חיים בריא + נפשי וחברתי
כריות ישיבה: שקלו שימוש בכריות ישיבה מיוחדות למניעת פצעי לחץ ולשמירה על יציבה נכונה.
שינויי תנוחה: עודדו שינויים בתנוחה למניעת לחץ ממושך באזורים רגישים - יש לבדוק עם רופא כיצד נכון למקם.
פיזיותרפיה: בחנו מול הרופא המטפל שילוב של פיזיותרפיה מותאמת לשיפור זרימת הדם ולשמירה על טווחי תנועה.
שמירה על שגרה: עודדו את ההורה לשמור על הרגלים ופעילות חברתית אותן נהג לעשות טרם הפציעה ככל האפשר.
פעילות מותאמת: עודדו ועזרו למטופל לגבש הרגלי פנאי חדשים ומותאמים למצבו החדש. 
הדרכת המשפחה: וודאו שכל בני המשפחה יודעים כיצד לתפעל את כיסא הגלגלים, כולל קיפול, העמסה לרכב, וכניסה ויציאה מכיסא הגלגלים (למיטה, לכיסא רחצה וכו').


מספר רשויות מקומיות ועיריות מציעות סיוע במימון התאמות נגישות לבתים במקרים אלו, בדקו זכאות מול מחלקת הרווחה של אזור המגורים.
הקפידו על תחזוקה שוטפת של כסא הגלגלים.
רשויות ועיריות מפעילות מרכזי יום עם חוגים שמותאמים לאנשים בכסאות גלגלים, בדקו לפי מקום המגורים. 
","זכויות
ניתן לקבל מספר סוגי כסאות גלגלים מקופת החולים - יש להגיש בקשה לאתר מכבי > בקשה חדשה להתחייבות > תחת בקשה מהמשרד או החזרים, אישורים והתחייבויות - https://www.maccabi4u.co.il/new/maccabi_news/general/49130/#?module=NewFormMobility
נמליץ לקבל המלצה מפיזיותרפיסט או רופא ובה רשום במפורש הצורך בכיסא ספציפי; כיסא גלגלים ידני / כיסא גלגלים ממונע / כיסא גלגלים לשירותים ורחצה.
ניתן לקבל כרית לכיסא גלגלים להפחתת הסיכוי בפצעי לחץ מקופת החולים - יש להגיש בקשה לאתר מכבי > בקשה חדשה להתחייבות > תחת בקשה מהמשרד או החזרים, אישורים והתחייבויות - https://www.maccabi4u.co.il/new/maccabi_news/general/49130/#?module=NewFormMobility
נמליץ לקבל המלצה מפיזיותרפיסט או רופא ובה רשום במפורש הצורך בכרית לכיסא גלגלים להפחתת הסיכוי בפצעי לחץ 
ניתן לקבל מיטה סיעודית ומזרן / מזרן למניעת פצעי לחץ מקופת החולים - יש להגיש בקשה לאתר מכבי > בקשה חדשה להתחייבות > תחת בקשה מהמשרד או החזרים, אישורים והתחייבויות - https://www.maccabi4u.co.il/new/maccabi_news/general/49130/#?module=NewFormMobility
נמליץ לקבל המלצה מפיזיותרפיסט או רופא ובה רשום במפורש הצורך במיטה סיעודית ומזרן / מזרן למניעת פצעי לחץ.
ניתן להגיש בקשה לסיוע במימון התאמות נגישות לבית ממשרד הבינוי והשיכון https://www.gov.il/he/service/request-to-improve-housing-conditions-for-handicapped
אביזרי עזר רלוונטים בהשתתפות עצמית עם קופת חולים מכבי https://www.maccabi4u.co.il/new/eligibilites/2161/
פנו למטפל/אחות/פיזיותרפיסט ובקשה הפניה שתכלול אבחנה רפואית והמלצה לרכישה של הפריט. קנו את המוצר ולאחר מכן הגישו למרכז הרפואי בדואר או בעמדת אל-תור את ההפניה שקיבלת ממטפל הקופה, קבלה וחשבונית מס מקורית. ההחזר ישלח אליכם. 
הגבהה לאסלה (5סמ-15סמ) - 43 ש""ח - 103 ש""ח
הגבהה לאסלה עם שיפוע - 130 ש""ח 
כף נעליים ארוכה ממתכת - 16 ש""ח
אביזר עזר לשריכת שרוכים - 20 ש""ח
מאחזים בגדלים שונים - 11 - 49 ש""ח
ספוגי רחצה מותאמים - 14 - 30 ש""ח
ספסל העברה לאמבטיה - 211 ש""ח
קרש עם מושב לאמבטיה - 76 ש""ח
מעקה עזר לאסלה - 103 ש""ח
",מכבי
נמליץ על שימוש בלחצני מצוקה,"המלצות וזכויות
לחצן מצוקה נייח: לוודא שמותקן במקום נגיש למטופל או מיקום ממנו ישמע קולו היטב ויפעיל את הלחצן (תלוי אם הלחצן הינו על בסיס מגע או צליל). 
לחצן מצוקה נייד: לוודא שהוא עמיד במים.
ישנם לחצני מצוקה בעלי תקשורת דו כיוונית כך שהמטופל יכול לקבל הדרכה בעודו מחכה לעזרה. 
חשוב לוודא שהמטופל ואתם יודעים לתפעל בעת הצורך.
להנחות וסבסודים בדקו:
קופות חולים ממנות/משתתפות בהוצאות בהתאם למסלול
קצבת סיעוד מאפשרת לקבל את השירות בתמורה לרבע או חצי שעת טיפול שבועית https://www.btl.gov.il/benefits/Long_Term_Care/sherutim/Pages/mashdermetzuka.aspx
נמליץ לבדוק מול עמותת בסמוך לאזור המגורים
",,מכבי
