Title,Short explain,Subtitle,Seconed button,Seconed button - Text,Seconed button 2,Seconed button 2 - Text,Seconed explain,Seconed picture,Third subtitle,Third button,Third button - Text,Third explain,Third picture,Four Subtitle,Four  button,Four  button - Text,Four  button 2,Four  button - Text,Four  explain,Four  picture,Fifth subtitle,Fifth button,Fifth button - Text,Fifth button 2,Fifth button 2 - Text,Fifth explain,Fifth picture,Six subtitle,Six button,Six button - Text,Six button 2,Six button 2- Text,Six explain,Six picture,HMO,serial number,Category,Sub-category,Notes,Rank 
קשיי נשימה,"קשיי נשימה עשויים להשפיע בצורה רחבה על איכות החיים, תהליך השיקום וגם על הפוטנציאל בהתדרדרות מחלות רקע ו/או התפתחות מחלות כרוניות, הינכם זכאים למגוון רחב של טיפולים ושירותים האמורים לסייע בשיקום , החלמה ושיפור איכות החיים וחשוב מאד דווקא בתקופת השיקום על אף העומס של הטיפול בשבר לא להזניח את הנושא ",טיפולים וליווי רפואי,,,,,"חשוב ליידע את צוות הרופאים האינטגרטיבי בנושא, ולבחון השפעות רוחביות
כחלק מהמעכב ולטובת השיח עם הצוות הרפואי ומימוש זכויות מול ביטוח לאומי - הקפידו על תיעוד של ההשפעות כגון, סחרורות, בילבול, פגיעה בשינה, עליה בכמות הנפילות/'כמעט נפילה',  עייפות, חולשה ועוד. 
חוות דעת רופא ריאות – פנו לרופא מומחה על מנת שידגיש את הקשר בין הקושי הנשימתי ובין ההגבלה הפיזית.                                                                                                     טיפולים פיזיותרפיים נשימתיים: בקשו מרופא המשפחה הפניה וקבעו תור
ייתכן וקשיי הנשימה הינם סימפטום של חולי נוסף או סיבוך שנגרם מהאישפוז, חשוב לבקש בדיקות מקיפות גם של מערכת הנשימה ובית החזה.
",,ציוד רפואי ,https://yad-sarah.net/,ציוד יד שרה,"חולים עם קשיי נשימה כרוניים או זמניים זכאים להשאלת/השתתפות בהוצאות מכשירי חמצן, אינהלציה או CPAP דרך קופת החוליםאו עמותת כגון יד שרה. דרך קופת החולים ניתן לקבל את המכשיר לתקופת ניסיון של שבוע. לפני שמתקדמים להתייחבות ארוכת טווח כלשהיא (דרך הקופה/רכישה מעסק/עמותה..) נמליץ לנצל את האפשרות של תקופת הניסיון ולראות האם מועיל, מתאים ונוח למשתמש.
באם קיבלתם אישור מהרופא למכונת CPAP דרך הקופה, אתם זכאים להחזר של 100% מההוצאה על הציוד הנלווה (מתכלה) של המכשיר עם הגבלת סכום של עד 1,667 שקלים בשנה קלנדרית. רשימת הציוד:
​מסכה.
צינורית.
רצועת ראש.
פד למצח.
כרית אפית.
מסנן אוויר (פילטר).
למימוש, ריכשו את הציוד בחנות או אצל ספק בארץ לבחירתכם. המסמכים הנדרשים לטובת הזדכות:
אישור מרופא משפחה (או אף אוזן גרון) שמאשר שהמטופל צריך מכשיר CPAP.
חשבונית מס קבלה מקורית או קבלה מקורית על שם המטופל.
העבירו בקשה באתר מכבי או פנו למשרד המרפאה שלכם במכבי בשביל לקבל את ההחזר.


",,בחינת זכאות להעלאת קצבת סיעוד,הקפצה לסעיף קצבת סיעוד שלהם,קצבת סיעוד,,,"בעיות נשימה יכולות להעלות את דרגת קצבת הסיעוד אם ניתן להוכיח שמשפיעות על מצב התפקוד היומיומי של המטופל. 

בדיקת תלות (ADL) מקצועית – לוודא שהבודקים מבינים את ההשפעה השלילית על תפקוד היום-יום. מכיוון שחלה החמרה במצב הרפואי, נמליץ לשלוח את האישורים הרפואיים העדכניים לביטוח לאומי בשביל לעדכן את רמת הזכאות ",,בחינת שורש הבעיה,מקפיץ אצלנו,תרצו סיוע בהכנת דף שאלות לרופא?,,,"
חשוב להבין את מקור קשיי הנשימה והאם התחילו לפני או כתוצאה של אירוע שבירת הירך.
פיזיולוגי: חוסר תנועה לאורך זמן עלול לגרום לקשיי נשימה בטווח הקצר והארוך.
נפשי: חרדה או תחושת חוסר אונים עלולים להוביל לתחושת חוסר נשימה.
שימו לב לדבר גם על הנושא הזה עם הרופא המטפל, ולהבין יחדיו את מקור הבעיה, את השלכותיה על השיקום ואת דרכי ההתמודדות הנכונות ביותר",,,,,,,,,אחר,"InfoCard_health_54
",Health,,,
"חום, אודם, נפיחות או הפרשות באזור הניתוח","במידה ויש חום, אודם, נפיחות או הפרשות באזור הניתוח, זה יכול להצביע על זיהום מקומי או סיסטמי שדורש טיפול אנטיביוטי. נמליץ לפנות לרופא המנתח והמשפחה בהקדם.
במידה ויש לכם את פרטי הקשר של הרופא המנתח, נמליץ לשלוח לו תמונות על מנת לקבל חוות דעת ראשונית בהקדם.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"InfoCard_health_55
",Health,,,
קשיי שינה,"הפציעה , תהליך השיקום והשפעותיהם על שינוי אורחות החיים עלולים להשפיע על השינה ובו בעת שינה לא איכותית עשויה לעכב את תהליך התחדשות העצם והשיקום ואף להוביל לנפילות חוזרות",הצעות טיפול והתנהלות,,,,,"בירור מול הרופא בדיקת התרופות הקיימות עם הרופא כדי להפחית כאלו הגורמות הפרעות שינה. כמו כן בדקו לגבי משככי כאבים לפני השינה כדי למנוע יקיצות בשל כאב.
התאמת הטיפול הפיזיותרפי
תרגילי פיזיותרפיה מותאמים כדי לשפר את זרימת הדם ולשחרר את השירירים.
רופא מומחה - נמליץ לבקש מהקופה גם הפניה לייעוץ גריאטרי או נוירולוגי לטיפול בבעיות שינה מתמשכות.
טיפול בחרדה ודיכאון באמצעות שיחות עם מטפל רגשי או עובדת סוציאלית.
",,קצבת סיעוד,מעבר לכרטייסת קצבת סיעוד שלו,להעמקה בזכויות קצבת סיעוד,"
הגדלת קצבת סיעוד - בעיות שינה יכולות להעלות את דרגת קצבת הסיעוד אם ניתן להוכיח שמשפיעות על מצב התפקוד היומיומי של המטופל. 
הקפידו על תיעוד של ההשפעות כגון, סחרחורות, בלבול, עייפות כרונית, עליה בכמות הנפילות/'כמעט נפילה', חולשה ועוד. 
פנו לרופא הקופה על מנת שידגיש את הקשר בין בעיות השינה ובין הירידה בתפקוד.
בדיקת תלות (ADL) מקצועית – לוודא שהבודקים מבינים את ההשפעה השלילית על תפקוד היום-יום.
במקרה ובו בעיות השינה החלו בעקבות הפציעה חשוב מאד להדגיש גם אותן במסגרת השיח על הקצבה והסיוע מביטוח לאומי בעקבות הפציעה. במידה והבעיות החלו עוד קודם לכן וייתכן ואף הוביל לנפילה (למשל קימה באמצע הלילה ונפילה) נמליץ להדגיש גם את הנושא הזה בתיק ההגשה לביטוח לאומי ובמכתב התייחסות הרופא",,שיפור סביבת והרגלי השינה,הורדת המדריך היגיינת שינה שלנו,מדריך היגיינת שינה ,,,"
סייעו ליצור שגרת שינה קבועה עם שעת שינה ויקיצה אחידה.
השתדלו להפחית נמנומים במהלך היום כדי למנוע נדודי שינה בלילה.
הימנעות מחשיפה למסכים (טלוויזיה, טלפון) כשעה לפני השינה.
תמיכה רגשית והתאמות סביבתיות חשיפה לאור יום בבוקר כדי לאפס את השעון הביולוגי ולשפר את הפרשת המלטונין.שימוש בכריות תומכות לשיפור הנוחות בתנוחת השינה.
שימוש באמצעי הרפיה לטובת הורדת רמות לחץ לאורך היום וסיוע בתהליך ההרדמות, אמצעי הרפיה אפשריים: מוזיקה מרגיעה, מדיטציה או תרגולי נשימה .
דאגה לסביבה שקטה וחשוכה עם תאורה חלשה בלילה למניעת בלבול.",,,,,,,,,הבנת שורש הבעיה,,,,,"
חשוב להבין את מקור קשיי השינה והאם מקושרים לשבר בירך
כאב כרוני – הכאב עלול להיות ממקור נוירופטי, דלקתי או מכני בשל הניתוח.
מגבלות תנועה – קושי במציאת תנוחה נוחה עקב מגבלה בתנועת הרגל.
תרופות – חלק מהתרופות שניתנות לאחר ניתוח (כגון משככי כאבים אופיאטיים) יכולות לגרום לעייפות במהלך היום ולנדודי שינה בלילה.
חרדה ודיכאון – בעקבות הפגיעה, ההגבלה בתנועה ואובדן תחושת העצמאות, מטופלים עלולים לחוות מצוקה נפשית שמשפיעה על איכות השינה.
שהייה ממושכת במיטה – הפחתת פעילות יומית מובילה לשיבוש מחזורי השינה ולתחושת עייפות לאורך כל היום.
שינויים סביבתיים –סביבה חדשה, תאורה, רעש והפרעות אחרות יכולים להשפיע על השינה.
",,,"InfoCard_health_56
",Health,,,
בלבול או שכחה,"פעמים רבות לאור שחיקת הרזרבות וקשיי ההסתגלות למצבים חדשים יובילו אירועים מכוננים כמו שבר ירך ליצירת בלבול ותסמיני שכחה, בחלק מן הפעמים ייתכן ומדובר בהחרפה של דמנציה ו/או מחלות קוגניטיביות אחרות , אולם במקרים אחרים מדובר במצב זמנים אותו ניתן לפתור במהרה ע""י טיפול בתזונה,שגרת חיים וסטאטוס רפואי כולל ועל כן חשוב להעמיק ולבחון את הנושא מול הרופא המטפל ואף לפנות למומחה בנושא",בירור רפואי ודגשים לבחינה מול רופא,,,,,"בצעו מעקב אחר תסמינים ועדכנו את הרופא המנתח והמשפחה בשביל להבין את דחיפות המקרה. בנוסף, בקשו מרופא המשפחה הפניות לבדיקות אשר יכולות לשפוך אור על המצב:
בדיקות דם: ספירת דם, אלקטרוליטים, B12, תפקודי כליות וכבד.
בדיקות שתן: לשלילת דלקת בדרכי השתן.
מעקב נוירולוגי / פסיכוגריאטרי: הערכה קוגניטיבית לזיהוי דמנציה או דליריום.
ניהול תרופתי זהיר
התייעצו עם רופא או רוקח בנוגע להרכב התרופות הנלקח.
ציינו את כלל התרופות הנלקחות גם אם אינן מקושרות ישירות לשבר הירך.

",,קצבת סיעוד,מעבר לכרטייסת קצבת סיעוד שלו,להעמקה בזכויות קצבת סיעוד,"
הגדלת קצבת סיעוד - בעיות שינה יכולות להעלות את דרגת קצבת הסיעוד אם ניתן להוכיח שמשפיעות על מצב התפקוד היומיומי של המטופל. 
הקפידו על תיעוד של ההשפעות כגון, סחרחורות, בלבול, עייפות כרונית, עליה בכמות הנפילות/'כמעט נפילה', חולשה ועוד. 
פנו לרופא הקופה על מנת שידגיש את הקשר בין בעיות השינה ובין הירידה בתפקוד.
בדיקת תלות (ADL) מקצועית – לוודא שהבודקים מבינים את ההשפעה השלילית על תפקוד היום-יום. חשוב להדגיש כי במידה ונדרשת השגחה על המטופל הדבר מעלה משמעותית את הדירוג במבחן הזכאות.
",,,קישור להורדת דף היגיינת שינה,מדריך היגיינת שינה ,,,"גבשו לו""ז שינה ברור ובו שעת שינה ושעת התעוררות קבועות
השתדלו להפחית נמנומים במהלך היום כדי למנוע נדודי שינה בלילה.
הימנעות מחשיפה למסכים (טלוויזיה, טלפון) כשעה לפני השינה.
הקפדה על שתייה מספקת כדי למנוע התייבשות.
תזונה עשירה בחלבון, ברזל וויטמינים לשיפור התפקוד המוחי.
עידוד תנועה ופיזיותרפיה – מניעת הדרדרות פיזית שיכולה להחמיר את הבלבול.
תרגול מיומנויות קוגנטיבוית באמצעות משחקים וחידות; תשבץ, תשחצ, סודוקו, חידות ומשחקי זכרון.",,הבנת שורש הבעיה,,,,,"חשוב להבין את מקור הבלבול והאם הוא מקושר לשבר בירך או לגורמים אחרים.
דליריום (Delirium) – מצב בלבול חריף שמתפתח במהלך האשפוז או השיקום, נגרם בשל זיהום, תרופות, אשפוז ממושך או שינויים סביבתיים. נמליץ להתייעץ עם הרופא המנתח ורופא המשפחה בהקדם.
השפעת הרדמה ותרופות – תרופות נגד כאבים (בעיקר אופיאטים), חומרי הרדמה ותרופות הרגעה עלולים להחריף בלבול או לגרום לירידה קוגניטיבית זמנית.
חסרים תזונתיים או התייבשות – מחסור בויטמין B12, חומצה פולית, ברזל או נתרן עלול לגרום לפגיעה בזיכרון ובלבול.
שינויים סביבתיים – שינוי בסביבה הביתית עלול לגרום לבלבול ולהחמיר ירידה קוגניטיבית קיימת.
זיהום או מחלות רקע – דלקות בדרכי השתן, דלקת ריאות או חסימות כלי דם עלולות להחריף בלבול ולהחמיר ירידה בזיכרון.
",,,,,,,,,,"InfoCard_health_57
",Health,,,
יישום הנחיות רפואיות ומעקב נטילת תרופות,"פעמים רבות אחד האתגרים הגדולים ביותר בתהליך השיקום הינו רתימת המטופל, ובמקרים אחרים גם אם המטופל רתום מאד לתהליך השיקום לצערנו לאור קשיי התנהלות ורצון לעצמאות בתהליך השיקום מתפספסת נטילת תרופות או נשכחים חלק מתרגילי השיקום דבר אשר עשוי לפגום באיכות תהליך השיקום ואף להוביל ליצירת בעיות רפואיות נוספות ו/או החמרה של מחלות רקע",תווך המידע,,,,,"ודאו שהמטופל מבין את מטרת ההנחיות ולא רק את הצורך בהן.
בקשו מהרופא/מטפל לתווך את המידע בצורה ברורה ופשוטה.
רשמו סיכום ברור של ההנחיות ודגשים חשובים ומקמו אותו במקומות נגישים.
בקשו מהרופא לבדוק אם אפשר להתאים/לפשט את הטיפול בהתאם למקור הקושי/התנגדות 
וודאו שהמטופל שותף/מרגיש שותף לקבלת החלטות רפואיות
עודדו את המטופל לקחת חלק פעיל בקבלת ההחלטות כדי שירגיש שליטה.
אפשרו לו לבחור בין מספר אפשרויות טיפוליות כאשר הדבר אפשרי.

","הבנת שורש הבעיה
חשוב להבין מדוע ההורה מתקשה או מסרב למלא אחר ההנחיות הרפואיות.
התנגדות רגשית או פסיכולוגית – תחושת אובדן שליטה, פחד מתלות או חוסר רצון להודות בחולשה עלולים לגרום להורה להתנגד לטיפולים.
חוסר הבנה - ריבוי הוראות (כגון תרופות, פיזיותרפיה, תזונה מיוחדת) עשוי להיות מבלבל ומכביד, במיוחד אם אין תיווך נכון של המידע.
חוסר נוחות או כאב – שימוש בעזרים רפואיים, ביצוע פיזיותרפיה או נטילת תרופות מסוימות עשויים להיות כואבים או לא נעימים, מה שמוביל לחוסר התמדה.
",בניית שגרה והתנהלות,,,"שגרת יום סדורה ומוטיבציה פנימית לתהליך השיקום הינן מרכיב קריטי ביישום ההנחיות והצלחת התהליך. לטובת כך                                                                                               התאימו את ההנחיות הרפואיות לשגרת החיים של המטופל – לדוגמה, נטילת תרופות בשעות שקל לזכור.
אם מדובר בתרגילי פיזיותרפיה – שלבו אותם בפעילות נעימה כמו הליכה קצרה בחוץ.
עודדו את המטופל בכך שתחושת השיפור תגיע עם הזמן.
חזקו כל עמידה בהנחיות, גם חלקית, כדי לבנות הצלחה הדרגתית.
בדקו עם רופא האם קיים דיכאון או חרדה סמויה שמשפיעים על ההיענות לטיפול.
חשוב שקושי/התנגדות שכזו לא תרחיק ותכביד עליכם ועל כן נמליץ על 'תיווך' של רופא, מטפל או כל צד גורם צד שלישי אשר המטופל יקשיב לו",,הבנת שורש הבעיה,,,,,"חשוב להבין מדוע ההורה מתקשה או מסרב למלא אחר ההנחיות הרפואיות.
התנגדות רגשית או פסיכולוגית – תחושת אובדן שליטה, פחד מתלות או חוסר רצון להודות בחולשה עלולים לגרום להורה להתנגד לטיפולים.
חוסר הבנה - ריבוי הוראות (כגון תרופות, פיזיותרפיה, תזונה מיוחדת) עשוי להיות מבלבל ומכביד, במיוחד אם אין תיווך נכון של המידע.
חוסר נוחות או כאב – שימוש בעזרים רפואיים, ביצוע פיזיותרפיה או נטילת תרופות מסוימות עשויים להיות כואבים או לא נעימים, מה שמוביל לחוסר התמדה.
",,,,,,,,,,,,,,,,,"InfoCard_health_58
",Health,,,
"ייפוי כוח מתמשך, אפוטרופוס וזכויות","אם המטופל עדיין כשיר לקבל החלטות, ניתן לערוך ייפוי כוח מתמשך המאפשר למנות מיופה כוח שיקבל החלטות רפואיות בעתיד, במקרה שלא יוכל לעשות זאת בעצמו.
נמליץ לנהל שיחה אחראית על הנושא עם המטופל, לאפשר לו להגדיר את גבולות הגזרה וכיצד ירצה שיתקבלו ההחלטות. ",אפוטרופוס,,,,,"במקרים שבהם המטופל אינו מסוגל לקבל החלטות רפואיות ומסרב לטיפולים הנחוצים, ניתן לפנות לבית המשפט לענייני משפחה בבקשה למנות אפוטרופוס לענייני גוף.
ההליך כולל הגשת בקשה מפורטת, תצהיר, חוות דעת רפואיות ולעיתים דוח סוציאלי.
חשוב לזכור שאתם פועלים מתוך מקום של דאגה ואהבה. מדובר בלקיחת אחריות גדולה ואתם צריכים להיות גאים שאתם עושים זאת עבור אדם שאתם אוהבים. מובן שההבנה היא קשה וכואבות אבל אנחנו סמוכים שאם תחליטו להתקדם בערוץ זה, המניעים שלכם טובים ואתם עושים את הדבר הנכון. 
למידע נוסף",,"הנחיות רפואיות מקדימות 

",https://www.gov.il/he/service/dying-patient-request,טופס מימוש הנחיות רפואיות מקדימות,"אם המטופל עדיין כשיר לקבל החלטות, הוא יכול לערוך מסמך הנחיות רפואיות מקדימות, שבו יפרט מראש את רצונותיו לגבי טיפולים רפואיים עתידיים במצבים שבהם לא יוכל להביע את דעתו.
נמליץ לקיים שיחה פתוחה עם המטופל כדי להבין את העדפותיו, להסביר את המשמעות של ההנחיות ולוודא שהוא מקבל החלטות בהתאם לערכים ולרצונות שלו.
איך מפעילים את ההנחיות?
מאשרים אותו מול רופא או אחות מוסמכת.
מפקידים את המסמך בקופת החולים כדי שייכנס לתיק הרפואי ויהיה זמין לצוותים הרפואיים בעת הצורך",,,,,,,,,,,,,,,,,,,,,,,,"InfoCard_health_59
",Health,,,
ירידה חריגה במשקל,"ירידה משמעותית במשקל יכולה לגרום לאובדן מסת שריר ואנרגיה, דבר שמעלה את הסיכון לנפילות חוזרות, ומקשה על השיקום הפיזי.
כמו כן, חשוב לזהות את הסיבה לירידה במשקל כדי לטפל בה באופן נכון",המלצות התנהלות ונושאים לבירור רפואי,,,,,"
נמליץ לשתף את הגורם המנתח ואת רופא המשפחה בשינוי בהקדם.
בקשו מרופא המשפחה לערוך בדיקות דם לזיהוי מחסורים תזונתיים (כמו B12, D או ברזל).
וודאו שלא מדובר בבעית פה ולסט שמקשה על האכילה. 
פנו לדיאטן קליני ו/או תזונאי דרך הקופה להתאמת תפריט עשיר בחלבון, סידן וברזל.
בקשו מהפיזיותרפיסט להתאים פעילות גופנית מתונה במטרה של לשמר מסת שריר.
נמליץ על מעקב שבועי אחר משקל המטופל. 
ייעוץ אצל דיאטן קלינית גריאטרית דרך קופת החולים.
בקשו מהדיאטן הערכה תזונתית והמלצה למזון רפואי שעשיר בקלוריות, חלבונים, ויטמינים ומינרלים דרך הקופה.
פנו לרופא המשפחה עם ההמלצה והערכה התזונתית על מנת לקבל מרשם וגשו לבית המרקחת הקרוב. 

",,הבנת שורש הבעיה,,,"

חוסר תיאבון בעקבות הניתוח – כאבים, הרדמה, סטרס ושינויי אורח חיים יכולים לגרום לירידה ברעב.
כאב בעת אכילה או ישיבה ממושכת – קושי לשבת בנוחות עלול לגרום להפחתה בכמות המזון הנצרכת.
דיכאון או חרדה – בעקבות אובדן העצמאות ותחושת חוסר אונים, מטופלים רבים מפתחים דיכאון שמתבטא גם בחוסר תיאבון.
קושי בלעיסה או בבליעה – בעיות שיניים, חולשה בשרירי הלסת או תופעות לוואי של תרופות עלולות להקשות על האכילה.
שינויים בתפקוד מערכת העיכול – עצירות, בעיות ספיגה, מחלות כרוניות או שינויים הורמונליים משפיעים על חילוף החומרים.
השפעות תרופתיות – תרופות מסוימות, במיוחד נוגדי כאבים או תרופות פסיכיאטריות, עשויות להפחית תיאבון או לגרום לבחילות.
",,קצבת סיעוד,,,,,"הגדלת קצבת סיעוד - ירידה חריגה במשקל יכולה להעלות את דרגת קצבת הסיעוד אם ניתן להוכיח שקיימת השפעה על מצב התפקוד היומיומי של המטופל. 
הקפידו על תיעוד של ההשפעות כגון חולשה, סחרחורות,  עליה בכמות הנפילות/'כמעט נפילה' ועוד. 
פנו לרופא הקופה על מנת שידגיש את הקשר לפגיעה בתפקוד היומיומי. 
בדיקת תלות (ADL) מקצועית – לוודא שהבודקים מבינים את ההשפעה השלילית על תפקוד היום-יום.
במקרה ובו הירידה החריגה במשקל חלה בעקבות הפציעה חשוב מאד להדגיש גם אותן במסגרת השיח על הקצבה והסיוע מביטוח לאומי בעקבות הפציעה. במידה והבעיות החלו עוד קודם לכן וייתכן ואף הוביל לנפילה (סחרחורות, אובדן שיווי משקל וכו') נמליץ להדגיש גם את הנושא הזה בתיק ההגשה לביטוח לאומי ובמכתב התייחסות הרופא",,,,,,,,,,,,,,,,,"InfoCard_health_61
",Health,,,
כאב שיניים,"ראשית פנו לרופא שיניים, לא מחכים שהכאב יחמיר! פעמים רבות בריאות דנטלית נדחקת הצידה לאור הקשיים והאתגרים הרפואיים והתפקודיים האחרים אולם היא בעלת השפעה רבה על המצב הבריאותי הכולל ועל איכות החיים. ",מימוש זכויות ותיאום טיפולים,https://hadardent.com/,הדר,"https://yad-sarah.net/posts/mobile-dental-clinic/#:~:text=%D7%9E%D7%A8%D7%A4%D7%90%D7%AA%20%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D%20%D7%A0%D7%99%D7%99%D7%93%D7%AA%2C%20%D7%99%D7%93%20%D7%A9%D7%A8%D7%94,%D7%A6%D7%95%D7%A8%D7%9A%20%D7%91%D7%94%D7%92%D7%A2%D7%94%20%D7%A0%D7%95%D7%A1%D7%A4%D7%AA%20%D7%9C%D7%91%D7%99%D7%AA%20%D7%94%D7%9E%D7%98%D7%95%D7%A4%D7%9C.",יד שרה,"ניתן לקבוע תור ביתי במחיר מסובסד עם ארגונים כגון העמותה לרפואת שיניים ניידת, יד שרה, הדר ועוד
טיפולי שיניים לאזרחים ותיקים הינם בחינם/בהשתתפות עצמית נמוכה (תלוי טיפול) דרך קופת החולים.
פנו לרופא המשפחה בשביל לקדם את הטיפול. בקשו לבחון האם מדובר בזיהום על ידי בדיקות דם והערכה ראשונית של רופא המשפחה. 
בהתייעצות ואישור עם רופא, בדקו האם ניתן לבצע שטיפות עם מי מלח כדי להפחית דלקת. 
הקפידו על היגיינת הפה, וקבעו תורים תקופתיים בתדירות גבוה.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"InfoCard_health_63
",Health,,,
טיפולי המשך ריפוי בעיסוק,"טיפול ריפוי בעיסוק הינו חלק בלתי נפרד מתהליך השיקום ומהווה משלים חשוב ומשמעותי לתהליך השיקום הפיזיותרפי, פעמים רבות אנשים זונחים טיפול זה שמים אותו בעדיפות נמוכה יותר וחשוב מאד שלא לעשות זאת כי הוא מרכיב משמעותי מאד בהצלחת תהליך השיקום",דגשים לטיפול,להקפיץ לנו,תרצו סיוע בתיאום התורים?,,,"
 במפגש הראשון, מומלץ להביא מסמכים רפואיים רלוונטיים, כולל סיכום אשפוז והמלצות רפואיות. וודאו שהמטופל מבין את תהליך השיקום ומקבל הנחיות להמשך עבודה עצמאית.טיפול בבית ניתן באישור מיוחד דרך היחידה לטיפולי בית של הקופה. בקשו מהרופא ההמלצה אשר מציינת את הצורך בטיפול בבית. תבקשו מהרופא שיציין שיש מוגבלות תנועה שלא מאפשרת הגעה למכון ושעל המטפל להגיע לביתו של המטופל.את תיאומי התורים בין אם במרפאה ובין אם בבית ניתן לעשות באמצעות אתר הקופה או דרך מוקד התורים הטלפוני
בקשו מהמרפאה בעיסוק להעריך אילו פעילויות יומיומיות (רחצה, לבוש, הכנת אוכל, ניידות ביתית) עשויות לדרוש התאמה או סיוע (הערכה זו יכולה להועיל בבקשת קצבת הסיעוד).

",,דגשים נוספים ומיצוי זכויות,הקפצה לסעיף זכויות אצלנו,לתהליך מיצוי זכויות ציוד,"  מרפאים בעיסוק מוסמכים להמליץ על אביזרי עזר שיכולים להקל על ביצוע פעולות יומיומיות – למשל כיסא רחצה, מתקני אחיזה, כריות ועוד.
את האביזרים ניתן לקבל מהקופה בהשאלה או ברכישה מסובסדת, כולל שירותי תחזוקה והדרכה.
",,,,,,,,,,,,,,,,,,,,,,,כללית,"InfoCard_health_116
",Health,,,
טיפולי המשך ריפוי בעיסוק,"טיפול ריפוי בעיסוק הינו חלק בלתי נפרד מתהליך השיקום ומהווה משלים חשוב ומשמעותי לתהליך השיקום הפיזיותרפי, פעמים רבות אנשים זונחים טיפול זה שמים אותו בעדיפות נמוכה יותר וחשוב מאד שלא לעשות זאת כי הוא מרכיב משמעותי מאד בהצלחת תהליך השיקום",דגשים לטיפול,להקפיץ לנו,תרצו סיוע בתיאום התורים?,,,"
 במפגש הראשון, מומלץ להביא מסמכים רפואיים רלוונטיים, כולל סיכום אשפוז והמלצות רפואיות. וודאו שהמטופל מבין את תהליך השיקום ומקבל הנחיות להמשך עבודה עצמאית.טיפול בבית ניתן באישור מיוחד דרך היחידה לטיפולי בית של הקופה. בקשו מהרופא ההמלצה אשר מציינת את הצורך בטיפול בבית. תבקשו מהרופא שיציין שיש מוגבלות תנועה שלא מאפשרת הגעה למכון ושעל המטפל להגיע לביתו של המטופל.את תיאומי התורים בין אם במרפאה ובין אם בבית ניתן לעשות באמצעות אתר הקופה או דרך מוקד התורים הטלפוני
בקשו מהמרפאה בעיסוק להעריך אילו פעילויות יומיומיות (רחצה, לבוש, הכנת אוכל, ניידות ביתית) עשויות לדרוש התאמה או סיוע (הערכה זו יכולה להועיל בבקשת קצבת הסיעוד).

",,דגשים נוספים ומיצוי זכויות,הקפצה לסעיף זכויות אצלנו,לתהליך מיצוי זכויות ציוד,"  מרפאים בעיסוק מוסמכים להמליץ על אביזרי עזר שיכולים להקל על ביצוע פעולות יומיומיות – למשל כיסא רחצה, מתקני אחיזה, כריות ועוד.
את האביזרים ניתן לקבל מהקופה בהשאלה או ברכישה מסובסדת, כולל שירותי תחזוקה והדרכה.
",,,,,,,,,,,,,,,,,,,,,,,מכבי,"InfoCard_health_117
",Health,,,
טיפולי המשך ריפוי בעיסוק,"טיפול ריפוי בעיסוק הינו חלק בלתי נפרד מתהליך השיקום ומהווה משלים חשוב ומשמעותי לתהליך השיקום הפיזיותרפי, פעמים רבות אנשים זונחים טיפול זה שמים אותו בעדיפות נמוכה יותר וחשוב מאד שלא לעשות זאת כי הוא מרכיב משמעותי מאד בהצלחת תהליך השיקום",דגשים לטיפול,להקפיץ לנו,תרצו סיוע בתיאום התורים?,,,"
 במפגש הראשון, מומלץ להביא מסמכים רפואיים רלוונטיים, כולל סיכום אשפוז והמלצות רפואיות. וודאו שהמטופל מבין את תהליך השיקום ומקבל הנחיות להמשך עבודה עצמאית.טיפול בבית ניתן באישור מיוחד דרך היחידה לטיפולי בית של הקופה. בקשו מהרופא ההמלצה אשר מציינת את הצורך בטיפול בבית. תבקשו מהרופא שיציין שיש מוגבלות תנועה שלא מאפשרת הגעה למכון ושעל המטפל להגיע לביתו של המטופל.את תיאומי התורים בין אם במרפאה ובין אם בבית ניתן לעשות באמצעות אתר הקופה או דרך מוקד התורים הטלפוני
בקשו מהמרפאה בעיסוק להעריך אילו פעילויות יומיומיות (רחצה, לבוש, הכנת אוכל, ניידות ביתית) עשויות לדרוש התאמה או סיוע (הערכה זו יכולה להועיל בבקשת קצבת הסיעוד).

",,דגשים נוספים ומיצוי זכויות,הקפצה לסעיף זכויות אצלנו,לתהליך מיצוי זכויות ציוד,"  מרפאים בעיסוק מוסמכים להמליץ על אביזרי עזר שיכולים להקל על ביצוע פעולות יומיומיות – למשל כיסא רחצה, מתקני אחיזה, כריות ועוד.
את האביזרים ניתן לקבל מהקופה בהשאלה או ברכישה מסובסדת, כולל שירותי תחזוקה והדרכה.
",,,,,,,,,,,,,,,,,,,,,,,אחר,"InfoCard_health_118
",Health,,,
